DATE,01:J1,02:J2,03:J4,04:J5,05:J6,06:J6A,07:J7,08:J8,09:J9,10:J10,11:J11,12:J11A,13:J12,14:J13,15:J14,16:J15,17:J15A,18:J16,19:J17,20:J18,21:J19,22:J20,23:J21,24:J21A,25:J22,26:J23,27:J23A,28:J24,29:J24A,30:J25,31:J26,32:J27,33:J28,34:J29,35:J29A,36:J30,37:J31,38:J32,39:J33,40:J34,41:J35,42:J35A,43:J36,44:J37,45:J38,46:J39,47:J40,48:J41,49:J42,50:J43|44,51:J45,52:J46,53:J47,54:J48
2023-05-06 23:59:42.257360,65.86535,68.92777,70.0,67.85846,64.622604,66.74047,58.617596,68.24155,68.75103,67.72946,67.14544,68.6024,61.117607,67.30357,68.45379,69.98476,68.749695,70.0,70.0,70.0,69.99538,67.66099,60.631954,65.519104,58.834686,69.11328,69.751755,68.35083,70.0,59.81863,70.0,70.0,68.19244,57.295765,56.659313,62.50969,66.73905,62.693245,63.702717,67.24614,67.108086,69.72753,70.0,70.0,70.0,66.859535,69.93389,52.21295,58.27892,67.99045,66.48672,67.236755,67.72946,NA
2023-05-07 00:29:45.153852,63.37986,62.572384,69.67274,68.47983,65.86535,65.62135,61.103085,67.82203,68.39014,67.29494,67.272766,68.629105,63.6031,70.0,69.17331,68.69612,70.0,68.652405,70.0,70.0,70.0,70.0,68.155754,69.74299,70.0,70.0,70.0,70.0,69.85431,70.0,69.96565,67.24888,70.0,69.852806,69.82265,70.0,69.76714,62.14395,67.97093,69.24858,67.72946,70.0,70.0,70.0,69.77721,66.73526,67.108086,57.69164,60.539536,67.72946,63.379856,66.69696,70.0,NA
2023-05-07 00:59:48.717016,70.0,70.0,70.0,70.0,68.9722,64.38187,56.136856,68.72604,69.2116,67.170364,68.05882,70.0,62.64046,69.10252,70.0,70.0,69.70482,69.43062,70.0,70.0,70.0,70.0,65.9673,70.0,70.0,70.0,70.0,70.0,70.0,68.693275,70.0,69.83386,70.0,69.90623,70.0,69.866264,67.49608,63.86391,56.67438,58.40861,62.75849,68.01449,69.455536,70.0,70.0,70.0,70.0,53.164543,61.91167,67.99045,70.0,70.0,70.0,NA
2023-05-07 01:29:51.870882,67.72946,68.52108,69.61735,70.0,70.0,67.48221,64.82775,69.42183,66.08652,63.566715,63.581894,65.6056,61.682106,69.85422,69.29811,70.0,70.0,70.0,70.0,67.202995,64.36793,70.0,69.983734,70.0,68.9722,68.20975,66.046265,67.72946,68.82795,68.92539,68.9722,69.61421,70.0,68.81588,67.95854,67.417564,66.35107,60.554485,60.901913,68.558044,68.9722,70.0,69.66281,68.53546,69.896,67.60519,66.34619,51.999905,58.236694,66.515114,66.48672,70.0,70.0,NA
2023-05-07 01:59:54.470684,67.72946,67.70834,69.85482,70.0,67.72946,62.20219,59.447674,66.821846,68.19032,66.98351,66.35939,70.0,60.32561,65.995674,69.8068,68.23574,66.32932,70.0,70.0,70.0,70.0,70.0,66.77832,69.89241,70.0,68.562454,67.13082,70.0,69.6657,69.44824,70.0,69.113,67.50687,69.0751,67.108086,68.01335,69.57462,65.25081,63.223595,68.764984,70.0,70.0,70.0,70.0,70.0,67.85374,68.691154,51.999905,43.799583,57.25674,65.86535,69.24909,70.0,NA
2023-05-07 02:29:57.151875,64.622604,66.31757,68.612076,70.0,65.86535,64.74948,58.825115,65.74249,66.165276,66.549,66.232056,67.67049,61.56836,67.30357,69.32333,66.71691,67.108086,69.43368,69.44364,67.716156,69.81314,67.93486,67.04074,70.0,70.0,70.0,70.0,70.0,69.6657,70.0,70.0,69.113,67.7241,70.0,70.0,69.63369,67.84615,63.386696,60.854385,66.62477,67.108086,69.00641,65.72732,66.83611,69.671646,68.22656,65.806076,51.33948,57.64624,65.20138,64.622604,67.12018,65.24397,NA
2023-05-07 02:59:59.699693,70.0,66.31868,68.5883,67.98746,64.622604,65.93041,60.894375,66.21342,67.46868,65.24397,63.8739,65.51434,59.76112,66.61704,68.569824,70.0,66.931725,68.67367,69.44364,68.94559,70.0,68.8695,65.34881,69.96712,70.0,70.0,69.62767,70.0,70.0,70.0,68.413155,68.61176,65.37443,68.739685,70.0,70.0,68.97219,62.4186,61.919987,67.72947,65.86535,68.484795,69.731606,70.0,70.0,69.96639,67.167366,52.504112,57.833183,65.519165,67.108086,70.0,70.0,NA
2023-05-07 03:30:02.631577,70.0,70.0,70.0,67.46283,69.593575,66.36309,60.894375,64.89941,66.38689,57.166145,59.47168,68.76844,59.817993,65.86535,68.42135,68.9722,69.1947,68.732925,66.91486,69.37894,70.0,70.0,67.79477,70.0,70.0,69.18382,67.89901,68.35083,67.87372,69.63561,70.0,69.974655,68.71255,70.0,70.0,69.69473,69.57462,63.386696,62.520138,68.6961,70.0,70.0,70.0,70.0,70.0,66.859535,66.62724,49.84463,57.76433,67.45427,67.108086,69.863625,70.0,NA
2023-05-07 04:00:05.582141,69.593575,69.7394,68.67935,69.39144,70.0,62.267246,55.101635,66.43153,65.5046,57.353004,58.483593,62.975327,57.50314,66.55188,63.218723,70.0,70.0,69.6137,70.0,68.90568,70.0,70.0,65.55169,68.57496,70.0,70.0,70.0,70.0,70.0,66.49915,67.48016,66.36657,67.85421,69.17802,64.279,69.89242,70.0,60.691807,60.362617,64.89871,68.9722,70.0,70.0,70.0,68.65268,69.345024,69.7341,51.00927,57.597004,66.42992,65.86535,69.26802,70.0,NA
2023-05-07 04:30:08.334870,68.9722,70.0,70.0,70.0,66.48672,64.876366,55.929337,64.01148,66.02599,58.346607,59.561657,65.35376,59.424126,67.49906,70.0,67.72946,66.375465,66.165016,68.32918,67.2429,70.0,70.0,67.25584,70.0,70.0,70.0,68.82538,70.0,70.0,68.717766,70.0,68.9722,70.0,70.0,69.3158,68.895935,66.72009,62.4186,60.98399,68.212776,67.108086,70.0,70.0,70.0,70.0,63.37986,66.76776,51.630634,58.325157,69.57937,68.35083,70.0,70.0,NA
2023-05-07 05:00:11.162748,67.72946,66.94005,67.448494,68.705574,68.35083,64.81455,60.480526,64.75319,64.82271,57.353004,58.446247,62.868137,54.680664,67.07317,67.27688,67.17729,69.1947,69.032585,68.47911,70.0,69.48379,68.04273,64.66501,69.89241,70.0,67.870544,70.0,70.0,70.0,70.0,69.718216,70.0,68.6545,70.0,70.0,69.49242,64.50591,61.45051,61.73497,67.108086,67.108086,67.259155,70.0,69.506226,67.67667,67.23236,69.172,50.42695,58.583954,68.9722,65.86535,69.132195,70.0,NA
2023-05-07 05:30:13.889483,67.72946,67.93336,70.0,70.0,70.0,65.43592,57.58356,66.08283,67.89026,58.47118,59.524303,63.74381,60.609997,66.877686,69.01859,66.555916,68.684586,66.52698,66.80823,64.096634,70.0,70.0,65.88825,70.0,70.0,70.0,69.77448,70.0,69.33283,70.0,70.0,69.113,66.41408,70.0,70.0,70.0,69.84592,64.83884,61.10026,67.52224,67.72946,70.0,70.0,70.0,70.0,66.61099,66.62724,51.630634,61.682503,70.0,69.593575,70.0,70.0,NA
2023-05-07 06:00:16.595820,66.48672,67.48113,70.0,68.44758,65.86535,62.576305,60.067856,65.57075,64.46195,58.47118,58.116882,62.801258,58.63213,66.55188,68.474144,66.601814,67.219345,70.0,70.0,70.0,70.0,70.0,65.85703,70.0,70.0,67.108086,69.77448,68.35083,68.75582,68.85337,67.8541,69.83386,69.73896,69.12853,70.0,68.86375,67.34148,53.987217,63.62064,68.212776,68.9722,70.0,70.0,70.0,70.0,70.0,68.491356,50.42695,59.372654,69.57937,67.108086,70.0,70.0,NA
